@relation jim-filtered-data-weka.filters.unsupervised.attribute.Remove-R9

@attribute channel_0 numeric
@attribute channel_1 numeric
@attribute channel_2 numeric
@attribute channel_3 numeric
@attribute channel_4 numeric
@attribute channel_5 numeric
@attribute channel_6 numeric
@attribute channel_7 numeric
@attribute class {0,70}

@data
0.060924,0.234627,0.169399,0.049241,0.062268,0.094208,0.024906,0.163164,0
0.060563,0.234358,0.169026,0.048893,0.061684,0.09385,0.024665,0.163382,0
0.060829,0.234428,0.169369,0.049006,0.062125,0.094021,0.024889,0.163201,0
0.061117,0.234705,0.169827,0.049346,0.062593,0.094386,0.025124,0.162996,0
0.060999,0.234644,0.169553,0.049271,0.062334,0.094269,0.024969,0.163119,0
0.060593,0.234379,0.16906,0.048905,0.061768,0.093883,0.024664,0.163309,0
0.060762,0.234407,0.169213,0.048921,0.061988,0.093922,0.02483,0.163275,0
0.061182,0.234696,0.169699,0.049339,0.062622,0.094387,0.025164,0.163026,0
0.060987,0.234597,0.169592,0.049276,0.06241,0.094323,0.024971,0.163023,0
0.060686,0.234439,0.169183,0.048995,0.061871,0.093983,0.024728,0.16328,0
0.060731,0.234458,0.169191,0.048921,0.061871,0.093913,0.024793,0.163436,0
0.061167,0.23469,0.169749,0.049319,0.062623,0.0944,0.025155,0.163025,0
0.061121,0.234751,0.169698,0.049383,0.062509,0.094416,0.025102,0.16315,0
0.060854,0.234633,0.169324,0.049141,0.062009,0.094099,0.024841,0.163388,0
0.060676,0.234467,0.169218,0.048898,0.061763,0.093852,0.024783,0.163492,0
0.06117,0.234754,0.169704,0.049307,0.06255,0.094306,0.025157,0.163195,0
0.061154,0.234792,0.169724,0.049412,0.062561,0.094433,0.025156,0.163152,0
0.060881,0.234603,0.169386,0.049188,0.062141,0.094161,0.024862,0.163249,0
0.06063,0.234392,0.169123,0.0489,0.061719,0.093867,0.024764,0.163447,0
0.061064,0.234612,0.169651,0.049229,0.062461,0.094285,0.025102,0.163115,0
0.061154,0.234732,0.169791,0.049429,0.06261,0.0945,0.025169,0.16307,0
0.060952,0.234672,0.169479,0.049277,0.062258,0.094268,0.024891,0.163286,0
0.060645,0.234436,0.169119,0.048931,0.061733,0.093906,0.024734,0.163504,0
0.061003,0.234549,0.169542,0.04915,0.062328,0.094202,0.025029,0.163225,0
0.061191,0.234744,0.169878,0.049439,0.062655,0.094506,0.025196,0.163054,0
0.061083,0.234682,0.169685,0.049358,0.06234,0.094336,0.025033,0.163232,0
0.060727,0.234536,0.169205,0.049038,0.06178,0.093978,0.024805,0.163542,0
0.06094,0.234569,0.169452,0.049117,0.062173,0.094118,0.024986,0.163346,0
0.061264,0.234856,0.169834,0.049477,0.062686,0.094514,0.025255,0.163151,0
0.061085,0.234769,0.169607,0.049383,0.062437,0.094383,0.025071,0.163204,0
0.060668,0.234457,0.169206,0.049022,0.061856,0.094015,0.024732,0.163329,0
0.060784,0.234452,0.16934,0.049016,0.062028,0.094042,0.024843,0.163291,0
0.061219,0.234781,0.16982,0.049451,0.062675,0.094503,0.025156,0.163094,0
0.061165,0.234862,0.169718,0.049477,0.062494,0.094461,0.025092,0.163291,0
0.060822,0.234628,0.169332,0.049158,0.061954,0.094116,0.024845,0.1634,0
0.060763,0.234474,0.169303,0.048992,0.061877,0.093988,0.024844,0.163424,0
0.061236,0.234814,0.169917,0.049412,0.062637,0.094464,0.025198,0.163155,0
0.061153,0.234795,0.169771,0.049441,0.062535,0.094489,0.02517,0.163153,0
0.060887,0.23461,0.169366,0.049187,0.062066,0.094176,0.024887,0.163342,0
0.060698,0.234424,0.169112,0.048931,0.061777,0.093892,0.024806,0.163486,0
0.061173,0.234752,0.169667,0.049325,0.062527,0.094339,0.025125,0.163192,0
0.06114,0.234784,0.169744,0.049438,0.062564,0.094462,0.025115,0.1631,0
0.060911,0.234625,0.169444,0.049236,0.062195,0.094222,0.024902,0.163231,0
0.060669,0.234473,0.169111,0.048975,0.061735,0.093912,0.024813,0.163502,0
0.061069,0.234648,0.169611,0.049273,0.062432,0.094266,0.025072,0.163161,0
0.061194,0.234783,0.169862,0.049475,0.062631,0.094486,0.025157,0.163108,0
0.060971,0.2347,0.169585,0.049321,0.062298,0.094257,0.024953,0.163211,0
0.060626,0.234469,0.169081,0.04898,0.06172,0.093898,0.024713,0.163476,0
0.060978,0.234619,0.169431,0.049183,0.062279,0.094149,0.024929,0.163302,0
0.061204,0.234828,0.16976,0.049478,0.062658,0.094485,0.02514,0.163122,0
0.061072,0.234769,0.169567,0.04938,0.062374,0.09434,0.025043,0.163234,0
0.06069,0.234478,0.169152,0.04901,0.061802,0.093958,0.024777,0.163439,0
0.060896,0.234536,0.169387,0.049079,0.062157,0.094094,0.024941,0.163318,0
0.061236,0.234843,0.169824,0.049457,0.062677,0.094518,0.025211,0.163112,0
0.061059,0.234734,0.169639,0.049358,0.062468,0.094393,0.025032,0.163135,0
0.060717,0.234446,0.169298,0.049014,0.061873,0.094009,0.024797,0.163318,0
0.060792,0.234473,0.169326,0.048989,0.062005,0.093978,0.024906,0.163344,0
0.061206,0.234831,0.169768,0.04941,0.06268,0.094454,0.0252,0.163091,0
0.061134,0.234825,0.169641,0.049418,0.062518,0.0944,0.025115,0.163234,0
0.060782,0.234609,0.169257,0.049136,0.061975,0.09408,0.024781,0.163397,0
0.060696,0.234467,0.169161,0.048955,0.061851,0.09392,0.024753,0.163445,0
0.061162,0.234738,0.169725,0.049356,0.0626,0.094388,0.025106,0.163087,0
0.061103,0.234761,0.169712,0.049406,0.062516,0.094424,0.025096,0.163062,0
0.060863,0.234645,0.169369,0.049179,0.062088,0.094153,0.024824,0.163307,0
0.060674,0.23444,0.169179,0.048908,0.06177,0.093916,0.02476,0.163495,0
0.061156,0.234759,0.16973,0.049304,0.062516,0.094356,0.025128,0.163194,0
0.061162,0.234832,0.169866,0.049448,0.062548,0.094486,0.025174,0.163122,0
