@relation jim_10nofilt-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.attribute.Remove-R9

@attribute channel_0 numeric
@attribute channel_1 numeric
@attribute channel_2 numeric
@attribute channel_3 numeric
@attribute channel_4 numeric
@attribute channel_5 numeric
@attribute channel_6 numeric
@attribute channel_7 numeric
@attribute tag {0,70}

@data
0.042593,0.170502,0.122017,0.03285,0.042738,0.067523,0.015491,0.117808,0
0.061554,0.245876,0.176271,0.047575,0.061708,0.097605,0.022819,0.169427,0
0.06264,0.251215,0.179883,0.048361,0.062671,0.09948,0.023106,0.173054,0
0.048002,0.193043,0.138021,0.037031,0.047961,0.076302,0.017564,0.132943,0
0.043581,0.174999,0.125162,0.033608,0.043615,0.069197,0.015904,0.1207,0
0.050664,0.202891,0.145257,0.039119,0.050723,0.080383,0.018665,0.139757,0
0.052119,0.20911,0.149582,0.040198,0.052094,0.082719,0.019191,0.144112,0
0.04622,0.184868,0.132385,0.035692,0.046284,0.073276,0.017087,0.12733,0
0.042596,0.17096,0.122404,0.032844,0.042552,0.067623,0.015683,0.117814,0
0.044145,0.176761,0.126516,0.034096,0.044188,0.070005,0.016286,0.121737,0
0.044188,0.177807,0.127097,0.034102,0.044157,0.07026,0.016121,0.122534,0
0.04219,0.168497,0.120676,0.032632,0.042343,0.066858,0.015556,0.116076,0
0.039975,0.160612,0.114784,0.030888,0.039973,0.063539,0.014687,0.110606,0
0.039387,0.157903,0.112903,0.030459,0.039511,0.062531,0.014457,0.108681,0
0.038294,0.154357,0.110248,0.029536,0.038225,0.060912,0.013935,0.10629,0
0.037698,0.150335,0.107585,0.029133,0.03784,0.059633,0.013941,0.103546,0
0.03656,0.14678,0.10487,0.028232,0.036521,0.05804,0.013484,0.10098,0
0.035527,0.142019,0.101521,0.027445,0.035579,0.056262,0.013121,0.097717,0
0.033756,0.136,0.096952,0.026031,0.03364,0.053653,0.012314,0.093551,0
0.03332,0.132999,0.09511,0.025751,0.033449,0.052731,0.012247,0.091579,0
0.032794,0.131607,0.094016,0.025329,0.032768,0.05206,0.012052,0.090485,0
0.0318,0.127201,0.090895,0.024549,0.031856,0.050346,0.011692,0.087513,0
0.029912,0.120515,0.085951,0.023065,0.029861,0.047528,0.010913,0.082838,0
0.029287,0.117159,0.083714,0.022596,0.029377,0.04634,0.010728,0.080672,0
0.029037,0.116492,0.083258,0.022421,0.029063,0.046024,0.010674,0.080069,0
0.028181,0.11303,0.080702,0.021731,0.028234,0.044634,0.010306,0.077769,0
0.026574,0.106861,0.076221,0.020485,0.026555,0.042175,0.009743,0.07342,0
0.02564,0.10297,0.073473,0.019768,0.025706,0.040666,0.009345,0.070885,0
0.02552,0.102235,0.07302,0.019708,0.025592,0.04048,0.009386,0.070249,0
0.024806,0.0996,0.071108,0.019108,0.024806,0.039361,0.009107,0.068523,0
0.023527,0.094376,0.06739,0.018154,0.023555,0.037331,0.00866,0.06482,0
0.02241,0.090255,0.064368,0.017264,0.022403,0.035607,0.008173,0.062095,0
0.0223,0.089136,0.063718,0.01723,0.022386,0.035333,0.008264,0.061213,0
0.021587,0.086991,0.06205,0.016647,0.021567,0.034333,0.007908,0.0598,0
0.020653,0.08274,0.059105,0.015972,0.020744,0.032763,0.00758,0.056821,0
0.019433,0.078671,0.056025,0.014979,0.019407,0.030974,0.007039,0.054082,0
0.019346,0.077171,0.055218,0.014956,0.019466,0.030614,0.007169,0.053033,0
0.018646,0.075289,0.053733,0.014359,0.018586,0.029654,0.006833,0.05174,0
0.01805,0.071908,0.051417,0.01393,0.018117,0.028509,0.006709,0.049412,0
0.016874,0.068184,0.048563,0.012973,0.016751,0.026826,0.006166,0.04685,0
0.0167,0.066328,0.047411,0.01288,0.016748,0.026307,0.006214,0.045603,0
0.015998,0.064561,0.045929,0.01233,0.015897,0.02544,0.00589,0.044329,0
0.015529,0.061798,0.04416,0.012008,0.015596,0.024513,0.005792,0.042477,0
0.014492,0.058521,0.041632,0.01116,0.01439,0.023025,0.005345,0.040156,0
0.014236,0.056476,0.04028,0.010973,0.014278,0.022364,0.005355,0.038841,0
0.013558,0.054722,0.038941,0.010446,0.01349,0.021561,0.004985,0.037524,0
0.013154,0.05235,0.037372,0.010131,0.013185,0.020735,0.004902,0.036015,0
0.012277,0.049515,0.035283,0.009467,0.012219,0.019535,0.004516,0.033962,0
0.011897,0.047353,0.03389,0.009166,0.01191,0.018795,0.004413,0.032616,0
0.011371,0.045679,0.032609,0.008773,0.011325,0.018084,0.004235,0.031347,0
0.010904,0.043532,0.031108,0.008389,0.010892,0.017245,0.004047,0.029997,0
0.010281,0.041117,0.029411,0.007914,0.01023,0.016302,0.003863,0.028224,0
0.009722,0.038952,0.027877,0.007464,0.009703,0.01542,0.003592,0.026865,0
0.009368,0.037365,0.026806,0.007217,0.009354,0.014855,0.003515,0.025672,0
0.008828,0.035419,0.025419,0.006765,0.008778,0.014002,0.003273,0.024454,0
0.008373,0.033387,0.023986,0.006465,0.008426,0.013285,0.003115,0.022955,0
0.007725,0.031344,0.022436,0.005939,0.007704,0.012342,0.002779,0.021628,0
0.007526,0.029907,0.021519,0.005834,0.007593,0.0119,0.002827,0.020551,0
0.006901,0.028082,0.020026,0.005291,0.006853,0.01104,0.002506,0.01936,0
0.006682,0.026379,0.018995,0.005168,0.006732,0.010529,0.002548,0.018149,0
0.00595,0.024376,0.017445,0.004552,0.005871,0.009551,0.002184,0.016834,0
0.005847,0.022973,0.016595,0.004511,0.005924,0.009202,0.002222,0.015877,0
0.005163,0.021294,0.015213,0.003942,0.005081,0.008316,0.001848,0.014735,0
0.005022,0.019776,0.014323,0.003869,0.005101,0.007906,0.001866,0.013704,0
0.00432,0.017989,0.012851,0.003274,0.004246,0.007018,0.001533,0.012459,0
0.004232,0.01665,0.01213,0.003242,0.004339,0.006696,0.001589,0.011585,0
0.003582,0.015147,0.010876,0.002711,0.003554,0.005892,0.001256,0.010489,0
0.003518,0.013801,0.010087,0.002669,0.003614,0.005528,0.001308,0.009649,0
0.002891,0.012268,0.008782,0.002177,0.002847,0.004745,0.001002,0.008508,0
0.002807,0.010987,0.008032,0.002112,0.002874,0.004382,0.001056,0.007728,0
0.002305,0.009698,0.006985,0.001717,0.002219,0.003744,0.000811,0.006746,0
0.002159,0.008431,0.00621,0.001616,0.00218,0.003353,0.000821,0.005975,0
0.001701,0.007124,0.005253,0.001261,0.00163,0.00276,0.00064,0.004957,0
0.001525,0.005911,0.004414,0.00111,0.001499,0.00232,0.00057,0.004245,0
0.001179,0.004793,0.003549,0.000849,0.001101,0.00187,0.000477,0.003347,0
0.000901,0.003563,0.002679,0.000616,0.000892,0.001379,0.000347,0.002613,0
0.000644,0.002496,0.001845,0.000444,0.000616,0.000983,0.000296,0.001775,70
0.000314,0.001279,0.000915,0.000156,0.000285,0.000433,0.000136,0.001055,70
0.000092,0.00029,0.000317,0.000019,0.000111,0.000107,0.000063,0.000252,70
-0.000301,-0.000884,-0.000633,-0.000315,-0.000317,-0.000477,-0.000121,-0.000464,70
-0.000382,-0.001808,-0.001174,-0.000351,-0.000356,-0.000703,-0.000064,-0.001181,70
-0.000789,-0.002938,-0.002089,-0.00071,-0.000888,-0.001275,-0.0003,-0.001877,70
-0.000825,-0.003761,-0.002537,-0.000679,-0.000803,-0.00144,-0.000206,-0.002516,70
-0.001269,-0.004851,-0.003452,-0.001077,-0.001384,-0.00203,-0.000457,-0.003202,70
-0.001283,-0.005661,-0.003874,-0.001034,-0.001252,-0.002171,-0.000385,-0.003821,70
-0.001817,-0.006749,-0.004846,-0.001482,-0.001906,-0.002802,-0.000697,-0.004553,70
-0.001724,-0.007454,-0.005114,-0.001367,-0.001658,-0.00288,-0.000538,-0.005036,70
-0.00224,-0.008468,-0.006067,-0.001803,-0.002339,-0.00347,-0.000835,-0.005728,70
-0.002174,-0.009178,-0.006398,-0.001708,-0.002099,-0.003544,-0.000727,-0.006199,70
-0.002683,-0.010132,-0.007208,-0.002126,-0.002759,-0.004117,-0.000991,-0.006899,70
-0.002581,-0.010821,-0.007537,-0.002027,-0.002505,-0.004207,-0.000865,-0.007327,70
-0.003077,-0.011691,-0.008423,-0.002415,-0.003152,-0.004736,-0.001175,-0.008008,70
-0.002992,-0.012349,-0.008697,-0.002327,-0.00292,-0.004833,-0.001087,-0.008387,70
-0.003388,-0.013153,-0.009459,-0.00267,-0.003487,-0.005284,-0.001251,-0.009031,70
-0.003342,-0.013794,-0.009788,-0.002627,-0.00332,-0.005386,-0.001157,-0.009369,70
-0.003697,-0.014522,-0.010395,-0.002908,-0.003803,-0.005791,-0.00132,-0.009969,70
-0.003699,-0.015181,-0.010738,-0.002911,-0.003735,-0.00597,-0.001282,-0.010302,70
-0.004004,-0.015843,-0.011326,-0.003119,-0.004101,-0.00629,-0.001436,-0.01088,70
-0.004099,-0.016501,-0.011787,-0.0032,-0.004114,-0.006525,-0.001517,-0.011216,70
-0.004303,-0.017074,-0.012245,-0.003339,-0.004359,-0.006777,-0.001578,-0.011743,70
-0.004439,-0.017731,-0.0127,-0.003468,-0.00448,-0.007061,-0.001642,-0.012076,70
-0.004551,-0.018227,-0.013034,-0.003525,-0.004607,-0.007219,-0.001654,-0.012529,70
-0.004782,-0.018905,-0.013594,-0.003711,-0.004851,-0.007564,-0.001798,-0.012884,70
-0.004808,-0.019355,-0.013763,-0.003696,-0.00484,-0.007635,-0.001775,-0.013295,70
-0.005054,-0.020012,-0.014275,-0.003939,-0.005157,-0.007994,-0.001903,-0.013645,70
-0.004991,-0.020379,-0.014486,-0.00384,-0.00502,-0.007983,-0.001796,-0.013972,70
-0.005319,-0.021026,-0.015062,-0.004133,-0.005452,-0.008386,-0.00202,-0.014352,70
-0.005188,-0.021337,-0.015167,-0.00398,-0.005215,-0.008319,-0.001849,-0.01462,70
-0.005574,-0.021967,-0.015795,-0.004308,-0.005699,-0.008736,-0.002117,-0.015018,70
-0.005436,-0.022282,-0.015827,-0.004159,-0.005413,-0.008691,-0.001984,-0.01527,70
-0.005839,-0.022904,-0.016436,-0.004519,-0.005961,-0.009143,-0.002226,-0.015685,70
-0.00566,-0.023185,-0.016444,-0.004335,-0.005606,-0.00904,-0.002049,-0.015883,70
-0.006117,-0.023767,-0.017055,-0.004712,-0.006174,-0.009475,-0.002373,-0.016311,70
-0.005915,-0.024034,-0.017065,-0.00453,-0.005819,-0.009403,-0.002206,-0.016462,70
-0.006293,-0.024529,-0.017584,-0.004842,-0.006342,-0.009783,-0.002454,-0.016851,70
-0.006082,-0.024783,-0.017572,-0.004659,-0.005989,-0.009691,-0.002276,-0.016962,70
-0.006415,-0.025239,-0.018092,-0.004963,-0.006525,-0.010055,-0.002434,-0.017342,70
-0.006229,-0.025478,-0.018086,-0.004794,-0.006193,-0.00997,-0.002268,-0.017415,70
-0.006519,-0.025863,-0.018482,-0.005057,-0.006621,-0.010264,-0.002419,-0.017773,70
-0.006417,-0.026157,-0.018482,-0.004969,-0.006384,-0.010265,-0.002365,-0.017881,70
-0.00663,-0.026459,-0.018869,-0.005135,-0.006708,-0.010477,-0.002459,-0.018194,70
-0.006579,-0.026771,-0.018912,-0.005096,-0.00657,-0.010511,-0.002423,-0.018284,70
-0.00676,-0.027056,-0.019262,-0.005223,-0.006815,-0.01066,-0.0025,-0.018601,70
-0.006757,-0.027369,-0.019458,-0.005244,-0.006771,-0.010741,-0.002518,-0.018677,70
-0.006806,-0.027566,-0.019608,-0.005263,-0.00687,-0.010793,-0.002489,-0.01891,70
-0.006872,-0.027895,-0.019832,-0.005337,-0.006939,-0.010943,-0.002555,-0.019007,70
-0.006891,-0.028057,-0.01988,-0.005311,-0.006937,-0.010954,-0.002511,-0.019226,70
-0.007015,-0.028403,-0.020153,-0.005449,-0.007116,-0.011165,-0.002587,-0.019334,70
-0.006942,-0.028519,-0.020122,-0.005349,-0.006997,-0.011095,-0.00247,-0.019515,70
-0.007193,-0.028903,-0.020519,-0.005583,-0.007292,-0.011389,-0.002679,-0.01969,70
-0.007049,-0.028973,-0.020417,-0.005442,-0.007075,-0.011266,-0.002548,-0.019805,70
-0.007325,-0.029329,-0.020807,-0.005703,-0.007466,-0.011562,-0.002751,-0.019976,70
-0.007144,-0.029364,-0.020701,-0.005512,-0.007163,-0.011409,-0.002617,-0.020054,70
-0.007429,-0.029671,-0.021099,-0.005774,-0.007595,-0.011707,-0.002802,-0.020219,70
-0.00717,-0.029688,-0.020917,-0.005539,-0.00721,-0.011506,-0.002577,-0.020256,70
-0.007517,-0.030003,-0.021345,-0.005844,-0.007693,-0.011843,-0.002814,-0.020476,70
-0.007299,-0.030022,-0.021169,-0.005625,-0.007281,-0.011662,-0.002658,-0.020485,70
-0.00766,-0.030333,-0.021586,-0.005955,-0.007776,-0.011998,-0.002911,-0.020727,70
-0.007384,-0.030324,-0.021416,-0.005727,-0.007331,-0.011806,-0.002714,-0.020674,70
-0.007702,-0.03055,-0.02178,-0.006007,-0.007805,-0.0121,-0.002924,-0.020887,70
-0.007451,-0.030566,-0.021587,-0.005794,-0.007406,-0.011922,-0.002761,-0.020831,70
-0.007721,-0.030745,-0.021889,-0.006026,-0.007831,-0.012157,-0.00292,-0.021042,70
-0.007503,-0.030755,-0.021705,-0.005825,-0.007491,-0.012023,-0.002772,-0.020959,70
-0.007748,-0.030886,-0.021918,-0.005999,-0.007844,-0.012204,-0.002932,-0.021173,70
-0.007596,-0.030923,-0.021909,-0.005866,-0.007551,-0.012104,-0.002842,-0.021093,70
-0.007751,-0.031013,-0.022076,-0.005999,-0.007821,-0.012231,-0.002913,-0.021273,70
