channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-325658,-4296983,-3275031,-3305974,-2612617,-3115791,-2944627,-8388608,1404688520.405,0
-325959,-4295510,-3272329,-3304911,-2612091,-3114456,-2943347,-8388608,1404688520.405,0
-325809,-4294841,-3270122,-3305471,-2612815,-3113741,-2943131,-8388608,1404688520.405,0
-325907,-4296937,-3269232,-3307002,-2613212,-3116624,-2945326,-8388608,1404688520.421,0
-326580,-4295611,-3266666,-3305086,-2612437,-3114462,-2943169,-8388608,1404688520.421,0
-326654,-4295871,-3266619,-3306773,-2613714,-3114710,-2944297,-8388608,1404688520.437,0
-325669,-4297557,-3267607,-3306076,-2612996,-3115687,-2944456,-8388608,1404688520.437,0
-325659,-4296280,-3268467,-3307229,-2613980,-3115052,-2944827,-8388608,1404688520.452,0
-326916,-4297324,-3269186,-3306556,-2614145,-3115052,-2944193,-8388608,1404688520.452,0
-326637,-4296782,-3268145,-3305999,-2613879,-3113751,-2943187,-8388608,1404688520.468,0
-326195,-4298779,-3272954,-3308454,-2614446,-3118426,-2947386,-8388608,1404688520.468,0
-326240,-4297714,-3271318,-3306223,-2614217,-3116327,-2945156,-8388608,1404688520.483,0
-326417,-4298592,-3274964,-3308704,-2614786,-3118518,-2947749,-8388608,1404688520.483,0
-325966,-4296463,-3273750,-3306246,-2613742,-3116751,-2945441,-8388608,1404688520.483,0
-326103,-4294734,-3272907,-3306319,-2614143,-3115033,-2944366,-8388608,1404688520.499,0
-326936,-4299349,-3277537,-3308799,-2615461,-3118195,-2947041,-8388608,1404688520.499,0
-326401,-4295713,-3275607,-3307034,-2614327,-3114774,-2944414,-8388608,1404688520.515,0
-326164,-4299834,-3279377,-3309091,-2615734,-3117643,-2946994,-8388608,1404688520.515,0
-326530,-4295628,-3277019,-3307245,-2614492,-3114546,-2944716,-8388608,1404688520.53,0
-326571,-4296536,-3278429,-3308634,-2615328,-3115525,-2945857,-8388608,1404688520.53,0
-326684,-4297647,-3278839,-3307646,-2614522,-3115851,-2945585,-8388608,1404688520.546,0
-326558,-4296932,-3277724,-3308396,-2615255,-3114321,-2944975,-8388608,1404688520.546,0
-326499,-4298691,-3278877,-3308298,-2614718,-3116009,-2945994,-8388608,1404688520.561,0
-326290,-4298357,-3276606,-3308417,-2615812,-3114124,-2945081,-8388608,1404688520.561,0
-325814,-4297506,-3277829,-3308799,-2614609,-3115908,-2946411,-8388608,1404688520.577,0
-326546,-4296758,-3274322,-3306994,-2614619,-3113207,-2943794,-8388608,1404688520.577,0
-326780,-4297718,-3276184,-3309554,-2615704,-3115074,-2946177,-8388608,1404688520.577,0
-326482,-4296791,-3274651,-3308073,-2614509,-3114248,-2945102,-8388608,1404688520.593,0
-326202,-4298554,-3275837,-3310033,-2615659,-3115295,-2946672,-8388608,1404688520.593,0
